Peergroup,Product
All products,Bissantz
All products,BOARD
All products,CALUMO
All products,Chartio
All products,Cubeware
All products,cubus
All products,CXO-Cockpit
All products,Cyberscience
All products,DigDash
All products,Dimensional Insight
All products,Domo
All products,Dundas
All products,Entrinsik
All products,Carriots Analytics (Envision)
All products,IBM Cog Analytics
All products,IBM Plan Analytics
All products,Infor
All products,Information Builders
All products,Jedox
All products,Longview Analytics
All products,MS Excel
All products,MS Power BI
All products,MS SSRS
All products,MicroStrategy
All products,Oracle BI
All products,Phocas
All products,MIK (prevero)
All products,prevero (prevero)
All products,Pyramid Analytics
All products,Qlik Sense
All products,QlikView
All products,SAP BEx
All products,SAP BO Analysis
All products,SAP BO Design St.
All products,SAP BO WebI
All products,SAS Enterprise BI
All products,Sisense
All products,Tableau
All products,TARGIT
All products,TIBCO Spotfire
All products,Yellowfin
All products,Zoho Reports
Large enterprise BI platforms,IBM Cog Analytics
Large enterprise BI platforms,Information Builders
Large enterprise BI platforms,MS SSRS
Large enterprise BI platforms,MicroStrategy
Large enterprise BI platforms,Oracle BI
Large enterprise BI platforms,SAP BEx
Large enterprise BI platforms,SAP BO BI
Large enterprise BI platforms,SAS Enterprise BI
Dashboarding-focused products,BOARD
Dashboarding-focused products,Chartio
Dashboarding-focused products,Cubeware
Dashboarding-focused products,CXO-Cockpit
Dashboarding-focused products,DigDash
Dashboarding-focused products,Dimensional Insight
Dashboarding-focused products,Domo
Dashboarding-focused products,Dundas
Dashboarding-focused products,Entrinsik
Dashboarding-focused products,Longview Analytics
Dashboarding-focused products,MS Power BI
Dashboarding-focused products,Pyramid Analytics
Dashboarding-focused products,QlikView
Dashboarding-focused products,SAP BO Design St.
Dashboarding-focused products,Sisense
Dashboarding-focused products,Tableau
Dashboarding-focused products,TARGIT
Dashboarding-focused products,TIBCO Spotfire
Dashboarding-focused products,Zoho Reports
Self-service reporting-focused products,Bissantz
Self-service reporting-focused products,Chartio
Self-service reporting-focused products,cubus
Self-service reporting-focused products,Cyberscience
Self-service reporting-focused products,DigDash
Self-service reporting-focused products,Dimensional Insight
Self-service reporting-focused products,Domo
Self-service reporting-focused products,Entrinsik
Self-service reporting-focused products,MS Power BI
Self-service reporting-focused products,Phocas
Self-service reporting-focused products,Pyramid Analytics
Self-service reporting-focused products,Qlik Sense
Self-service reporting-focused products,SAP BO WebI
Self-service reporting-focused products,TARGIT
Self-service reporting-focused products,Yellowfin
Self-service reporting-focused products,Zoho Reports
OLAP analysis-focused products,Bissantz
OLAP analysis-focused products,BOARD
OLAP analysis-focused products,CALUMO
OLAP analysis-focused products,Cubeware
OLAP analysis-focused products,cubus
OLAP analysis-focused products,CXO-Cockpit
OLAP analysis-focused products,IBM Plan Analytics
OLAP analysis-focused products,Infor
OLAP analysis-focused products,Jedox
OLAP analysis-focused products,MS Excel
OLAP analysis-focused products,MIK (prevero)
OLAP analysis-focused products,prevero (prevero)
OLAP analysis-focused products,Pyramid Analytics
OLAP analysis-focused products,SAP BEx
OLAP analysis-focused products,SAP BO Analysis
OLAP analysis-focused products,TARGIT
Data discovery-focused products,Dundas
Data discovery-focused products,Carriots Analytics (Envision)
Data discovery-focused products,MS Power BI
Data discovery-focused products,Phocas
Data discovery-focused products,Qlik Sense
Data discovery-focused products,QlikView
Data discovery-focused products,Sisense
Data discovery-focused products,Tableau
Data discovery-focused products,TIBCO Spotfire
Data discovery-focused products,Yellowfin
Integrated performance management products,Bissantz
Integrated performance management products,BOARD
Integrated performance management products,CALUMO
Integrated performance management products,Cubeware
Integrated performance management products,cubus
Integrated performance management products,IBM Plan Analytics
Integrated performance management products,Infor
Integrated performance management products,Jedox
Integrated performance management products,Longview Analytics
Integrated performance management products,MIK (prevero)
Integrated performance management products,prevero (prevero)
Large international BI vendors,IBM Cog Analytics
Large international BI vendors,IBM Plan Analytics
Large international BI vendors,Infor
Large international BI vendors,Information Builders
Large international BI vendors,MS Excel
Large international BI vendors,MS Power BI
Large international BI vendors,MS SSRS
Large international BI vendors,MicroStrategy
Large international BI vendors,Oracle BI
Large international BI vendors,Qlik Sense
Large international BI vendors,QlikView
Large international BI vendors,SAP BEx
Large international BI vendors,SAP BO BI
Large international BI vendors,SAS Enterprise BI
Large international BI vendors,Tableau
Large international BI vendors,TIBCO Spotfire
EMEA-focused vendors,Bissantz
EMEA-focused vendors,BOARD
EMEA-focused vendors,Cubeware
EMEA-focused vendors,cubus
EMEA-focused vendors,CXO-Cockpit
EMEA-focused vendors,DigDash
EMEA-focused vendors,Jedox
EMEA-focused vendors,Longview Analytics
EMEA-focused vendors,MIK (prevero)
EMEA-focused vendors,prevero (prevero)
EMEA-focused vendors,Pyramid Analytics
EMEA-focused vendors,TARGIT
Americas-focused vendors,BOARD
Americas-focused vendors,CALUMO
Americas-focused vendors,Chartio
Americas-focused vendors,Cyberscience
Americas-focused vendors,Dimensional Insight
Americas-focused vendors,Domo
Americas-focused vendors,Dundas
Americas-focused vendors,Entrinsik
Americas-focused vendors,Carriots Analytics (Envision)
Americas-focused vendors,Phocas
Americas-focused vendors,Pyramid Analytics
Americas-focused vendors,Sisense
Americas-focused vendors,Yellowfin
Americas-focused vendors,Zoho Reports
